seq_no,control_flag,priority_no,modal,LT,Dpt_entity,Dpt_week,Dpt_step,Arv_entity,Arv_week,Arv_step
YTOLEAF202301009,F,001202301009,B,2,YTO,-1,0,YTOLEAF,1,0
YTOLEAF202301023,F,001202301023,B,2,YTO,-1,1,YTOLEAF,1,1
YTOLEAF202301024,F,001202301024,B,2,YTO,-1,2,YTOLEAF,1,2
YTOLEAF202301027,F,001202301027,B,2,YTO,-1,3,YTOLEAF,1,3
YTOLEAF202301029,F,001202301029,B,2,YTO,-1,4,YTOLEAF,1,4
YTOLEAF202301031,F,001202301031,B,2,YTO,-1,5,YTOLEAF,1,5
YTOLEAF202301033,F,001202301033,B,2,YTO,-1,6,YTOLEAF,1,6
YTOLEAF202301035,F,001202301035,B,2,YTO,-1,7,YTOLEAF,1,7
YTOLEAF202301040,F,001202301040,B,2,YTO,-1,8,YTOLEAF,1,8
YTOLEAF202301045,F,001202301045,B,2,YTO,-1,9,YTOLEAF,1,9
YTOLEAF202301047,F,001202301047,B,2,YTO,-1,10,YTOLEAF,1,10
YTOLEAF202301050,F,001202301050,B,2,YTO,-1,11,YTOLEAF,1,11
YTOLEAF202301052,F,001202301052,B,2,YTO,-1,12,YTOLEAF,1,12
YTOLEAF202301056,F,001202301056,B,2,YTO,-1,13,YTOLEAF,1,13
YTOLEAF202301058,F,001202301058,B,2,YTO,-1,14,YTOLEAF,1,14
YTOLEAF202301060,F,001202301060,B,2,YTO,-1,15,YTOLEAF,1,15
YTOLEAF202301063,F,001202301063,B,2,YTO,-1,16,YTOLEAF,1,16
YTOLEAF202301065,F,001202301065,B,2,YTO,-1,17,YTOLEAF,1,17
YTOLEAF202301067,F,001202301067,B,2,YTO,-1,18,YTOLEAF,1,18
YTOLEAF202301069,F,001202301069,B,2,YTO,-1,19,YTOLEAF,1,19
YTOLEAF202301071,F,001202301071,B,2,YTO,-1,20,YTOLEAF,1,20
YTOLEAF202301073,F,001202301073,B,2,YTO,-1,21,YTOLEAF,1,21
YTOLEAF202301075,F,001202301075,B,2,YTO,-1,22,YTOLEAF,1,22
YTOLEAF202301079,F,001202301079,B,2,YTO,-1,23,YTOLEAF,1,23
YTOLEAF202301081,F,001202301081,B,2,YTO,-1,24,YTOLEAF,1,24
YTOLEAF202301083,F,001202301083,B,2,YTO,-1,25,YTOLEAF,1,25
YTOLEAF202301085,F,001202301085,B,2,YTO,-1,26,YTOLEAF,1,26
YTOLEAF202301097,F,001202301097,B,2,YTO,-1,27,YTOLEAF,1,27
YTOLEAF202301099,F,001202301099,B,2,YTO,-1,28,YTOLEAF,1,28
YTOLEAF202301004,F,001202301004,B,2,YTO,0,0,YTOLEAF,2,0
YTOLEAF202301007,F,001202301007,B,2,YTO,0,1,YTOLEAF,2,1
YTOLEAF202301008,F,001202301008,B,2,YTO,0,2,YTOLEAF,2,2
YTOLEAF202301014,F,001202301014,B,2,YTO,0,3,YTOLEAF,2,3
YTOLEAF202301015,F,001202301015,B,2,YTO,0,4,YTOLEAF,2,4
YTOLEAF202301016,F,001202301016,B,2,YTO,0,5,YTOLEAF,2,5
YTOLEAF202301017,F,001202301017,B,2,YTO,0,6,YTOLEAF,2,6
YTOLEAF202301019,F,001202301019,B,2,YTO,0,7,YTOLEAF,2,7
YTOLEAF202301022,F,001202301022,B,2,YTO,0,8,YTOLEAF,2,8
YTOLEAF202301026,F,001202301026,B,2,YTO,0,9,YTOLEAF,2,9
YTOLEAF202301030,F,001202301030,B,2,YTO,0,10,YTOLEAF,2,10
YTOLEAF202301036,F,001202301036,B,2,YTO,0,11,YTOLEAF,2,11
YTOLEAF202301037,F,001202301037,B,2,YTO,0,12,YTOLEAF,2,12
YTOLEAF202301038,F,001202301038,B,2,YTO,0,13,YTOLEAF,2,13
YTOLEAF202301039,F,001202301039,B,2,YTO,0,14,YTOLEAF,2,14
YTOLEAF202301041,F,001202301041,B,2,YTO,0,15,YTOLEAF,2,15
YTOLEAF202301042,F,001202301042,B,2,YTO,0,16,YTOLEAF,2,16
YTOLEAF202301043,F,001202301043,B,2,YTO,0,17,YTOLEAF,2,17
YTOLEAF202301044,F,001202301044,B,2,YTO,0,18,YTOLEAF,2,18
YTOLEAF202301053,F,001202301053,B,2,YTO,0,19,YTOLEAF,2,19
YTOLEAF202301054,F,001202301054,B,2,YTO,0,20,YTOLEAF,2,20
YTOLEAF202301055,F,001202301055,B,2,YTO,0,21,YTOLEAF,2,21
YTOLEAF202301068,F,001202301068,B,2,YTO,0,22,YTOLEAF,2,22
YTOLEAF202301076,F,001202301076,B,2,YTO,0,23,YTOLEAF,2,23
YTOLEAF202301077,F,001202301077,B,2,YTO,0,24,YTOLEAF,2,24
YTOLEAF202301078,F,001202301078,B,2,YTO,0,25,YTOLEAF,2,25
YTOLEAF202301086,F,001202301086,B,2,YTO,0,26,YTOLEAF,2,26
YTOLEAF202301087,F,001202301087,B,2,YTO,0,27,YTOLEAF,2,27
YTOLEAF202301088,F,001202301088,B,2,YTO,0,28,YTOLEAF,2,28
YTOLEAF202301089,F,001202301089,B,2,YTO,0,29,YTOLEAF,2,29
YTOLEAF202301090,F,001202301090,B,2,YTO,0,30,YTOLEAF,2,30
YTOLEAF202301091,F,001202301091,B,2,YTO,0,31,YTOLEAF,2,31
YTOLEAF202301092,F,001202301092,B,2,YTO,0,32,YTOLEAF,2,32
YTOLEAF202301093,F,001202301093,B,2,YTO,0,33,YTOLEAF,2,33
YTOLEAF202301094,F,001202301094,B,2,YTO,0,34,YTOLEAF,2,34
YTOLEAF202301003,F,001202301003,B,2,YTO,1,0,YTOLEAF,3,0
YTOLEAF202301005,F,001202301005,B,2,YTO,1,1,YTOLEAF,3,1
